B0*‖bait ‖A‖On‖{Backspace 5}BAiT 
*‖bait/‖C‖On‖Biuro Automatyki i Telekomunikacji
B0*‖bhp ‖A‖On‖{Backspace 4}BHP 
*‖bhp/‖C‖On‖Bezpieczeństwo i Higiena Pracy
B0*‖dtr ‖A‖On‖{Backspace 4}DTR 
*‖dtr/‖C‖On‖Dokumentacja Techniczno-Ruchowa
B0*‖ersat ‖A‖On‖{Backspace 6}ERSAT 
*‖ersat/‖C‖On‖Elektroniczny Rejestr Stanów Awaryjnych Taboru
B0*‖ik ‖A‖On‖{Backspace 3}IK 
*‖ik/‖C‖On‖Instytut Kolejnictwa
B0*‖nip ‖A‖On‖{Backspace 4}NIP 
*‖nip/‖C‖On‖Numer Identyfikacji Podatkowej
B0*‖pesel ‖A‖On‖{Backspace 6}PESEL 
*‖pesel/‖C‖On‖Powszechny Elektroniczny System Ewidencji Ludności
B0*‖pkp ‖A‖On‖{Backspace 4}PKP 
*‖pkp/‖C‖On‖Polskie Koleje Państwowe
B0*‖plk ‖A‖On‖{Backspace 4}PLK 
*‖plk/‖C‖On‖Polskie Linie Kolejowe
*‖srk/‖C‖On‖(urządzenia) sterowania ruchem kolejowym
B0*‖utk ‖A‖On‖{Backspace 4}UTK 
*‖utk/‖C‖On‖Urząd Transportu Kolejowego
B0*‖wtwio ‖A‖On‖{Backspace 6}WTWiO 
*‖wtwio/‖C‖On‖Warunki Techniczne Wytwarzania i Odbioru
