🗪 U+1F5EA chat.
💻 U+1F4BB notebo2k.
🗁 U+1F5C2 files.
🖳 U+1F5A5 pc.
🖶 U+1F5A8 printer.
🖮 U+1F5AE keyboard.
🖱 U+1F5B2 mouse.
🖧 U+1F5A7 network.

☀ U+2600 fullsun.
🐘 U+1F418 elephant.
🐄 U+1F404 cow.
❤ U+2764 heart.
🌷 U+1F337 flower.
🚲 U+1F6B2 bicycle.
🏃 U+1F3C3 run2er.

✋ U+270B handup.
☏ U+260F phone.
🖷 U+1F5B7 fax.
✉ U+2709 ad2res2.
📧 U+1F4E7 email.
♻ U+267B recycle.

☑ U+2611 checkok.
❎ U+274E checknok.
☐ U+2610 box.

🙂 U+1F642 :)
🙂 U+1F642 :-)
🙁 U+1F641 :( 
🙁 U+1F641 :-(
😉 U+1F609 ;)
😉 U+1F609 ;-)
😐 U+1F610 :|
😐 U+1F610 :-|
😕 U+1F615 :-/
😕 U+1F615 :/
😀 U+1F600 :D
😀 U+1F600 :-D
😳 U+1F633 :*
😳 U+1F633 :-*
😜 U+1F61C :p
😜 U+1F61C :-p
🐈 U+1F408 cat.
♡ U+2661 <3.
👍 U+1F44D ok.
👎 U+1F44E nok.
